Pokémon,Tipo,PS,Ataque,Defensa,Ataque especial,Defensa especial,Velocidad
TYPHLOSION,Fuego,-0.3261640365267211,0.05431254465935665,-0.7500000000000002,0.56415194758357,-0.49999999999999994,1.0379754695350056
PONYTA,Fuego,-0.3261640365267211,0.05431254465935665,-0.7500000000000002,-1.171700198827415,-0.49999999999999994,0.13538810472195717
TORKOAL,Fuego,-0.3261640365267211,0.05431254465935665,1.75,-0.30377412562192246,-0.49999999999999994,-1.6697866249041395
ARCANINE,Fuego,0.9784921095801632,2.2268143310336304,0.49999999999999994,0.56415194758357,0.7500000000000002,1.0379754695350056
STARMIE,Agua,-0.3261640365267211,0.05431254465935665,0.49999999999999994,0.56415194758357,-0.49999999999999994,1.0379754695350056
PALKIA,Agua,0.9784921095801632,1.1405634378464935,0.49999999999999994,1.4320780207890624,0.7500000000000002,1.0379754695350056
MILOTIC,Agua,0.9784921095801632,-1.0319383485277802,-0.7500000000000002,0.56415194758357,0.7500000000000002,0.13538810472195717
AZUMARILL,Agua,0.9784921095801632,-1.0319383485277802,-0.7500000000000002,-1.171700198827415,-0.49999999999999994,-0.7671992600910912
LEAFEON,Planta,-0.3261640365267211,1.1405634378464935,1.75,-1.171700198827415,-0.49999999999999994,0.13538810472195717
ABOMASNOW,Planta,0.9784921095801632,0.05431254465935665,-0.7500000000000002,-0.30377412562192246,-0.49999999999999994,-0.7671992600910912
CHERUBI,Planta,-1.6308201826336053,-2.118189241714917,-0.7500000000000002,-1.171700198827415,-1.75,-1.6697866249041395
BRELOOM,Planta,-0.3261640365267211,1.1405634378464935,-0.7500000000000002,-1.171700198827415,-0.49999999999999994,0.13538810472195717
JOLTEON,Eléctrico,-0.3261640365267211,-1.0319383485277802,-0.7500000000000002,0.56415194758357,0.7500000000000002,1.9405628343480539
MAGNEZONE,Eléctrico,-0.3261640365267211,0.05431254465935665,0.49999999999999994,1.4320780207890624,-0.49999999999999994,-0.7671992600910912
PIKACHU,Eléctrico,-1.6308201826336053,-1.0319383485277802,-2.0000000000000004,-1.171700198827415,-1.75,0.13538810472195717
AMPHAROS,Eléctrico,0.9784921095801632,0.05431254465935665,0.49999999999999994,1.4320780207890624,2.0000000000000004,0.13538810472195717
DUSKNOIR,Fantasma,-1.6308201826336053,0.05431254465935665,1.75,-1.171700198827415,2.0000000000000004,-0.7671992600910912
JIRATINA,Fantasma,2.2831482556870477,1.1405634378464935,0.49999999999999994,0.56415194758357,0.7500000000000002,0.13538810472195717
SPIRITOMB,Fantasma,-0.3261640365267211,0.05431254465935665,0.49999999999999994,-0.30377412562192246,0.7500000000000002,-1.6697866249041395
GENGAR,Fantasma,-0.3261640365267211,-1.0319383485277802,-0.7500000000000002,1.4320780207890624,-0.49999999999999994,1.0379754695350056
